l1_id,l1_label,lang,phrase,df_in,df_out,score,examples
medtop:11000000,politics and government,en,immigration enforcement,14,0,3.429238,"1351,1399,1416"
medtop:11000000,politics and government,en,speech in davos,12,0,3.366137,"1355,1357,1354"
medtop:11000000,politics and government,en,ice agents,13,0,3.360245,"1372,1383,1496"
medtop:11000000,politics and government,en,federal immigration,12,0,3.286137,"1348,1349,1351"
medtop:11000000,politics and government,en,border patrol,12,0,3.286137,"1372,1416,1542"
medtop:11000000,politics and government,en,border patrol agents,11,0,3.286094,"1372,1416,1542"
medtop:11000000,politics and government,en,enforcement official,11,0,3.206094,"1351,1372,1416"
medtop:11000000,politics and government,en,tim walz,11,0,3.206094,"1351,1416,1527"
medtop:11000000,politics and government,en,ms good,11,0,3.206094,"1351,1399,1530"
medtop:11000000,politics and government,en,patrol agents,11,0,3.206094,"1372,1416,1542"
medtop:11000000,politics and government,en,gov tim walz,10,0,3.199083,"1351,1416,1527"
medtop:11000000,politics and government,en,agents in minneapolis,10,0,3.199083,"1527,1542,1543"
medtop:11000000,politics and government,en,federal law enforcement,10,0,3.199083,"1527,1543,1568"
medtop:11000000,politics and government,en,gov tim,10,0,3.119083,"1351,1416,1527"
medtop:11000000,politics and government,en,politics democratic party,9,0,3.103773,"1292,1293,1348"
medtop:11000000,politics and government,en,statement on friday,9,0,3.103773,"1310,1355,1357"
medtop:11000000,politics and government,en,law enforcement officials,9,0,3.103773,"1310,1527,1543"
medtop:11000000,politics and government,en,alex jeffrey pretti,9,0,3.103773,"1543,1546,1568"
medtop:11000000,politics and government,en,shootings,10,0,3.039083,"1342,1351,1399"
medtop:11000000,politics and government,en,firearm,10,0,3.039083,"1342,1362,1542"
medtop:11000000,politics and government,en,politics democratic,9,0,3.023773,"1292,1293,1348"
medtop:11000000,politics and government,en,enforcement officials,9,0,3.023773,"1310,1527,1543"
medtop:11000000,politics and government,en,jacob frey,9,0,3.023773,"1351,1416,1530"
medtop:11000000,politics and government,en,agents shot,9,0,3.023773,"1527,1543,1546"
medtop:11000000,politics and government,en,jeffrey pretti,9,0,3.023773,"1543,1546,1568"
medtop:11000000,politics and government,en,alex jeffrey,9,0,3.023773,"1543,1546,1568"
medtop:11000000,politics and government,en,minneapolis this month,8,0,2.998412,"1351,1527,1530"
medtop:11000000,politics and government,en,official in charge,8,0,2.998412,"1372,1543,1546"
medtop:11000000,politics and government,en,local law enforcement,8,0,2.998412,"1527,1543,1546"
medtop:11000000,politics and government,en,approached border patrol,8,0,2.998412,"1542,1543,1546"
medtop:11000000,politics and government,en,federal agents shot,8,0,2.998412,"1543,1546,1565"
medtop:11000000,politics and government,en,bovino,9,0,2.943773,"1372,1543,1546"
medtop:11000000,politics and government,en,pretti,9,0,2.943773,"1543,1546,1568"
medtop:11000000,politics and government,en,firearms,9,0,2.943773,"1543,1546,1568"
medtop:11000000,politics and government,en,local police,8,0,2.918412,"1292,1293,1383"
medtop:11000000,politics and government,en,missile defense,8,0,2.918412,"1309,1328,1327"
medtop:11000000,politics and government,en,greenland which,8,0,2.918412,"1309,1474,1471"
medtop:11000000,politics and government,en,mr rutte,8,0,2.918412,"1328,1317,1327"
medtop:11000000,politics and government,en,russia-ukraine war,8,0,2.918412,"1328,1327,1331"
medtop:11000000,politics and government,en,immigration agents,17,1,2.918412,"1348,1349,1372"
medtop:11000000,politics and government,en,command which,8,0,2.918412,"1355,1357,1354"
medtop:11000000,politics and government,en,no criminal,8,0,2.918412,"1373,1543,1546"
medtop:11000000,politics and government,en,close range,8,0,2.918412,"1417,1416,1419"
medtop:11000000,politics and government,en,been shot,8,0,2.918412,"1402,1543,1546"
medtop:11000000,politics and government,en,local law,8,0,2.918412,"1527,1543,1546"
medtop:11000000,politics and government,en,minnesota officials,8,0,2.918412,"1527,1543,1546"
medtop:11000000,politics and government,en,approached border,8,0,2.918412,"1542,1543,1546"
medtop:11000000,politics and government,en,mr pretti,8,0,2.918412,"1543,1546,1568"
medtop:11000000,politics and government,en,atlantic treaty organization,15,1,2.880629,"1303,1328,1327"
medtop:11000000,politics and government,en,north atlantic treaty,15,1,2.880629,"1303,1328,1327"
medtop:11000000,politics and government,en,yearslong,8,0,2.838412,"1328,1327,1331"
medtop:11000000,politics and government,en,uniform,8,0,2.838412,"1355,1357,1354"
medtop:11000000,politics and government,en,terrorists,8,0,2.838412,"1373,1417,1419"
medtop:11000000,politics and government,en,north atlantic,15,1,2.800629,"1303,1328,1327"
medtop:11000000,politics and government,en,atlantic treaty,15,1,2.800629,"1303,1328,1327"
medtop:11000000,politics and government,en,treaty organization,15,1,2.800629,"1303,1328,1327"
medtop:11000000,politics and government,en,federal agents,23,2,2.800629,"1351,1372,1399"
medtop:11000000,politics and government,en,european allies,13,1,2.667098,"1328,1327,1331"
medtop:11000000,politics and government,en,military bases,12,1,2.59299,"1309,1328,1317"
medtop:11000000,politics and government,en,renee good,18,2,2.567014,"1292,1293,1351"
medtop:11000000,politics and government,en,invitation,12,1,2.51299,"1355,1357,1354"
medtop:11000000,politics and government,en,agent who,11,1,2.512947,"1351,1383,1399"
medtop:11000000,politics and government,en,troops,23,3,2.432947,"1303,1309,1328"
medtop:11000000,politics and government,en,prisons,11,1,2.432947,"1351,1372,1496"
medtop:11000000,politics and government,en,detained,17,2,2.432947,"1348,1349,1373"
