level,id,parent_id,flags,label_en,label_fr,def_en,def_fr
L1,medtop:02000000,,missing_def_fr;fr_def_missing_en_present,"crime, law and justice","Criminalité, droit et justice","The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities",
L2,medtop:20000082,medtop:02000000,missing_def_fr;fr_def_missing_en_present,crime,Criminalité,"Violations of laws by individuals, companies or organisations",
L2,medtop:20000106,medtop:02000000,missing_def_fr;fr_def_missing_en_present,judiciary,Système judiciaire,The system of courts of law,
L2,medtop:20000119,medtop:02000000,missing_def_fr;fr_def_missing_en_present,justice,Droits juridiques,The equitable administration of laws and regulations,
L2,medtop:20000121,medtop:02000000,missing_def_fr;fr_def_missing_en_present,law,Lois,The codification of rules of behaviour,
L2,medtop:20000129,medtop:02000000,missing_def_fr;fr_def_missing_en_present,law enforcement,Forces de l'ordre,Agencies that attempt to prevent disobedience to established laws or bring to justice those who disobey those laws,
L1,medtop:03000000,,missing_def_fr;fr_def_missing_en_present,"disaster, accident and emergency incident",Désastres et accidents,Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property,
L2,medtop:20000139,medtop:03000000,missing_def_fr;fr_def_missing_en_present,accident and emergency incident,Accident,"A sudden, unexpected event that causes unwanted consequences or requires immediate action",
L2,medtop:20000148,medtop:03000000,missing_def_fr;fr_def_missing_en_present,disaster,Désastres,"A sudden, unplanned event that causes great damage or loss of life, such as an accident or a natural catastrophe",
L2,medtop:20000160,medtop:03000000,missing_def_fr;fr_def_missing_en_present,emergency incident,Situation d'urgence,"A sudden, unexpected event that requires immediate action to prevent serious consequences",
L2,medtop:20000167,medtop:03000000,missing_def_fr;fr_def_missing_en_present,emergency planning,Prévention et organisation des secours,"Planning for actions to deal with sudden, unplanned events",
L2,medtop:20000168,medtop:03000000,missing_def_fr;fr_def_missing_en_present,emergency response,Secours d'urgence,"The planning and efforts made by people and organizations to help victims of a sudden, unplanned event, natural disaster or crisis",
L1,medtop:04000000,,missing_def_fr;fr_def_missing_en_present,"economy, business and finance",Économie et finances,"All matters concerning the planning, production and exchange of wealth.",
L2,medtop:20000170,medtop:04000000,missing_def_fr;fr_def_missing_en_present,business information,Microéconomie,"Information about individual business entities, including companies, corporations, charities",
L2,medtop:20000209,medtop:04000000,missing_def_fr;fr_def_missing_en_present,products and services,Secteurs économiques,Products and services consumed by companies and individuals and the companies that manufacture or manage them,
L2,medtop:20000344,medtop:04000000,missing_def_fr;fr_def_missing_en_present,economy,Économie,"Production, consumption, distribution and trade activities affecting regions or countries as a whole",
L2,medtop:20000349,medtop:04000000,missing_def_fr;fr_def_missing_en_present,business enterprise,Entreprises,Organisations set up to create and sell a product or service,
L2,medtop:20000385,medtop:04000000,missing_def_fr;fr_def_missing_en_present,market and exchange,Marchés,"Market for buying and selling stocks, currencies, commodities and other goods",
L1,medtop:05000000,,missing_def_fr;fr_def_missing_en_present,education,Éducation,"All aspects of furthering knowledge, formally or informally",
L2,medtop:20000398,medtop:05000000,missing_def_fr;fr_def_missing_en_present,parents group,Parents d'élèves,Group of parents set up to support educational activities of their children,
L2,medtop:20000399,medtop:05000000,missing_def_fr;fr_def_missing_en_present,religious education,Éducation religieuse,"Instruction by any faith about that faith's principles and beliefs, including Sunday school or preparation for a religious rite, such as a bar mitzvah",
L2,medtop:20000400,medtop:05000000,missing_def_fr;fr_def_missing_en_present,school,"Écoles, collèges, lycées",A building or institution in which education is provided,
L2,medtop:20000410,medtop:05000000,missing_def_fr;fr_def_missing_en_present,social learning,Apprentissage social,"The learning of social skills and behaviours through the imitation and observation of others. This can include formal and informal instruction around empathy, emotions and mental health.",
L2,medtop:20000411,medtop:05000000,missing_def_fr;fr_def_missing_en_present,teaching and learning,Pédagogie,Either end of the education equation,
L2,medtop:20000412,medtop:05000000,missing_def_fr;fr_def_missing_en_present,curriculum,Programmes d'études,The courses offered by a learning institution and the regulation of those courses,
L2,medtop:20000413,medtop:05000000,missing_def_fr;fr_def_missing_en_present,educational testing and examinations,Examen,"Polices and standards around the testing and assessment of students, including the merits of standardised testing, and testing methods",
L2,medtop:20000414,medtop:05000000,missing_def_fr;fr_def_missing_en_present,entrance examination,Examen ou concours d'entrée,"Exams for entering colleges, universities and all other higher and lower education institutions",
L2,medtop:20000415,medtop:05000000,missing_def_fr;fr_def_missing_en_present,students,Étudiants,"Students as a demographic, including student protests and requests for change and trends among students",
L2,medtop:20000416,medtop:05000000,missing_def_fr;fr_def_missing_en_present,teachers,Enseignants,"Teachers as a demographic, including teacher unions, teacher education and training and the criteria for teachers in various locations",
L2,medtop:20001216,medtop:05000000,missing_def_fr;fr_def_missing_en_present,vocational education,Enseignement professionnel,Education that provides students with practical experience and training in a particular occupational field. It is sometimes referred to as career education or technical education,
L2,medtop:20001217,medtop:05000000,missing_def_fr;fr_def_missing_en_present,educational grading,Classement scolaire,"The evaluation of a student's achievement on a test, assignment or course and the policies and methods around assigning those grades",
L2,medtop:20001337,medtop:05000000,missing_def_fr;fr_def_missing_en_present,online and remote learning,Enseignement à distance,"Learning where a student and teacher are not physically present in the same location. Instruction can occur synchronously or asynchronously and utilizes technology such as video conferencing, online assessments and video conferencing.",
L1,medtop:06000000,,missing_def_fr;fr_def_missing_en_present,environment,Environnement,"The protection, damage, and condition of the ecosystem of the planet Earth and its surroundings",
L2,medtop:20000418,medtop:06000000,missing_def_fr;fr_def_missing_en_present,climate change,Changement climatique,"All issues relating to extreme changes in climate, including rising global temperature, debate on the causes and solutions of global warming, greenhouse gases and ways to reduce emissions",
L2,medtop:20000420,medtop:06000000,missing_def_fr;fr_def_missing_en_present,conservation,Protection de la nature,"Preservation of the natural world, such as wilderness areas, flora and fauna",
L2,medtop:20000424,medtop:06000000,missing_def_fr;fr_def_missing_en_present,environmental pollution,Pollution de l'environnement,The contamination of natural resources by harmful substances,
L2,medtop:20000430,medtop:06000000,missing_def_fr;fr_def_missing_en_present,natural resource,Ressources naturelles,"Assets afforded by nature without human intervention that can be used for various purposes, such as providing energy or industrial materials",
L2,medtop:20000441,medtop:06000000,missing_def_fr;fr_def_missing_en_present,nature,Nature,The natural world,
L2,medtop:20001374,medtop:06000000,missing_def_fr;label_fr_equals_en;fr_def_missing_en_present,sustainability,sustainability,"Actions by organizations, governments, and individuals in response to environmental problems",
L1,medtop:07000000,,missing_def_fr;fr_def_missing_en_present,health,Santé,All aspects of physical and mental well-being,
L2,medtop:20000446,medtop:07000000,missing_def_fr;fr_def_missing_en_present,disease and condition,Maladies et état de santé,Any health conditions affecting humans,
L2,medtop:20000461,medtop:07000000,missing_def_fr;fr_def_missing_en_present,health facility,Centre de soins,Facilities used for any kind of health care,
L2,medtop:20000463,medtop:07000000,missing_def_fr;fr_def_missing_en_present,health organisation,Organisations de santé,"Specific health organisations, including professional associations, non-profit and international groups",
L2,medtop:20000464,medtop:07000000,missing_def_fr;fr_def_missing_en_present,health treatment and procedure,Traitements,"Remedies, therapies, interventions, medications, testing and treatments to prevent, diagnose, manage or improve a health condition",
L2,medtop:20000480,medtop:07000000,missing_def_fr;fr_def_missing_en_present,government health care,Soins de santé publics,Health care provided by governments at any level,
L2,medtop:20000483,medtop:07000000,missing_def_fr;fr_def_missing_en_present,health insurance,Assurance maladie,Insurance covering medical costs,
L2,medtop:20000484,medtop:07000000,missing_def_fr;fr_def_missing_en_present,private health care,Soins de santé privés,Health care provided by private organisations,
L2,medtop:20000485,medtop:07000000,missing_def_fr;fr_def_missing_en_present,medical profession,Profession médicale,"Profession requiring formal training in the study, diagnosis, treatment, care and prevention of disease, medical condition or injury",
L2,medtop:20000493,medtop:07000000,missing_def_fr;fr_def_missing_en_present,non-human diseases,Maladies non-humaines,"Any harmful or destructive health condition affecting animals, plants or microorganisms.",
L2,medtop:20001358,medtop:07000000,missing_def_fr;fr_def_missing_en_present,public health,Santé publique,"Organised public or private measures designed to prevent disease, promote health and prolong life among the population as a whole",
L1,medtop:08000000,,missing_def_fr;fr_def_missing_en_present,human interest,Gens animaux insolite,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way",
